team,id,o,os,d,ds,h,hs
Aston Villa,1,0.21012404436474458,0.18774273388663915,0.2915112731033198,0.21049334578572476,0.212812055346477,0.05370711084891984
Wigan Athletic,2,-0.13332488268655468,0.20299893631444077,-0.2578908661057243,0.18822495257551544,0.212812055346477,0.05370711084891984
Birmingham City,3,-0.36456110027586397,0.21585056837030994,-0.19407788552747696,0.19072706889120528,0.212812055346477,0.05370711084891984
Bolton Wanderers,4,-0.3364266605482425,0.21408662542031584,-0.2776867011881929,0.18767692608827988,0.212812055346477,0.05370711084891984
Brentford,5,0.10740622162555165,0.1945053074224645,0.05806414153635975,0.2010015069401738,0.212812055346477,0.05370711084891984
Bristol City,6,0.18941454966607865,0.1907153990859352,-0.05696628115937686,0.19544874105174473,0.212812055346477,0.05370711084891984
Blackburn Rovers,7,-0.35643929247404355,0.21495113545047642,-0.36752126345221875,0.1842649950153067,0.212812055346477,0.05370711084891984
Stoke City,8,0.20343638200510236,0.18752576623727818,0.3357845159096458,0.21556418923083204,0.212812055346477,0.05370711084891984
Derby County,9,0.2070804549013009,0.18839678797570447,0.1466100860320613,0.20355438673349402,0.212812055346477,0.05370711084891984
West Bromwich Albion,10,0.3329074776376088,0.18223799292636542,0.2220959957448911,0.20738888209505701,0.212812055346477,0.05370711084891984
Hull City,11,0.24195637100850031,0.18901656187594493,-0.24663892608359214,0.18856681157958993,0.212812055346477,0.05370711084891984
Ipswich Town,12,0.043490507585857006,0.19594204338297935,-0.07691391176156466,0.1964371523016369,0.212812055346477,0.05370711084891984
Leeds United,13,0.06645610561220854,0.19417455766657185,-0.14660026117451172,0.19136995313434543,0.212812055346477,0.05370711084891984
Middlesbrough,14,0.148290926206136,0.18970654291552094,0.2234980118982047,0.20692159387025147,0.212812055346477,0.05370711084891984
Millwall,15,-1.0944853029320614e-4,0.19637196074058563,0.20388501218839267,0.20789946474040583,0.212812055346477,0.05370711084891984
Norwich City,16,-0.11867604374526977,0.2030409301387919,-0.07650295676707423,0.19535608173395388,0.212812055346477,0.05370711084891984
Nottingham Forest,17,-0.0769026063777612,0.20283356411091075,-0.15740672997472482,0.19142444499748415,0.212812055346477,0.05370711084891984
Preston North End,18,0.020324358548178205,0.19603016318411348,0.18023101550699772,0.20638195343671725,0.212812055346477,0.05370711084891984
Queens Park Rangers,19,0.054382776289849055,0.1950695846183225,-0.236465710620456,0.18846995672889333,0.212812055346477,0.05370711084891984
Reading,20,-0.1344203281159284,0.20404212702980307,-0.228957267315739,0.18776938741226373,0.212812055346477,0.05370711084891984
Sheffield United,21,0.11010449004700315,0.19454995447109935,2.2877830911169778e-4,0.19900932067670632,0.212812055346477,0.05370711084891984
Sheffield Wednesday,22,0.0627947168008253,0.19469221709551343,-0.0830574279260768,0.19407422510954472,0.212812055346477,0.05370711084891984
Rotherham United,23,-0.047094463928561724,0.2005869877140341,-0.36537963321330147,0.1848717503740316,0.212812055346477,0.05370711084891984
Swansea City,24,0.3768998339546948,0.18329654260183154,0.3259828047290477,0.21401361220470042,0.212812055346477,0.05370711084891984
